"","treat","elapsed.time","flux.mn","flux.sd","cum.mn","cum.sd","NH3.bg.mn"
"1","NEO",0,6.91599948971006e-05,4.03314621420788e-05,0,0,12.9315085496667
"2","NEO",1.73,6.86123620867753e-05,2.53302406679544e-05,0.00716416256316154,0.00305518172877097,17.667335423
"3","NEO",3.47,6.92253456088481e-05,2.59406369279681e-05,0.014331723363334,0.00447158196929133,12.0985440076667
"4","NEO",5.2,5.16774477570477e-05,1.60814143990803e-05,0.0206186686183605,0.0056619479453363,9.83360758036667
"5","NEO",6.93,1.09670031403813e-05,1.10688300672885e-05,0.0238761800650268,0.00686971985554461,13.2204891265
"6","NEO",8.66,1.17056134642235e-05,1.18830314857668e-05,0.0250551561284663,0.00804266697548797,11.0569149229333
"7","NEO",10.4,6.32799593267634e-06,8.54794656560848e-06,0.0259929038171051,0.00902325431369216,9.85037688966667
"8","NEO",12.1,8.5626215488771e-06,9.1708777587332e-06,0.0267672159261458,0.00987508952502693,8.99283063976667
"9","NEO",13.9,1.32844381053968e-05,1.05003722326752e-05,0.0279032630281681,0.0108698251711609,8.30062355676667
"10","NEO",15.6,3.83877821502997e-05,1.51312249347795e-05,0.0305902184814643,0.0121542905603344,13.001894942
"11","NEO",17.3,6.32655113953432e-05,3.28963019783213e-05,0.0358761897458377,0.0137994238006335,16.5761025493333
"12","NEO",19.1,6.4367428596586e-05,2.70441735194216e-05,0.042513102625418,0.0160072370752588,14.8677358633333
"13","NEO",20.8,6.1480450751797e-05,3.02662083557049e-05,0.0490571923515339,0.018770941347618,13.4412721123333
"14","NEO",22.5,5.31673921371237e-05,4.23882990179987e-06,0.0550188801817578,0.0204483987119865,12.4227850153333
"15","NEO",24.3,6.42854089676648e-05,3.27091321983507e-05,0.0611264258392068,0.0222153065537454,10.1204887183333
"16","NEO",26,4.24579100471382e-05,2.47765671029322e-05,0.0666770784279766,0.0249523111288927,10.8638333608667
"17","NEO",27.7,3.80131240217589e-05,1.86289410547305e-05,0.0708615721995592,0.0270240421200064,8.54853958996667
"18","NEO",29.5,2.67174007109821e-05,1.36547509592798e-05,0.0742275594856617,0.0285371965276793,7.61478192776667
"19","NEO",31.2,1.53538969590449e-05,4.38259942180477e-06,0.0764152669645031,0.029302481061155,4.16301982213333
"20","NEO",32.9,1.21180177935313e-05,3.94403101027752e-06,0.0778438065316371,0.0296782991787092,3.9917886941
"21","NEO",34.6,1.0145877558971e-05,4.40148771580465e-06,0.0790015290899672,0.030045018474248,3.53868271383333
"22","NEO",36.4,1.67587179479832e-06,3.51159298252098e-06,0.0796162600563632,0.0304220626218861,5.84869214576667
"23","NEO",38.1,3.7844381448284e-06,1.11007104836825e-05,0.0799001961732238,0.0308721226693336,7.5566946551
"24","NEO",39.8,2.30317181229911e-05,9.47602822504431e-06,0.0812946362991504,0.0316231537668193,12.328248806
"25","NEO",41.6,2.66341674248721e-05,1.93259042367604e-05,0.0838772623476393,0.0327207483616383,9.12681181483333
"26","NEO",43.3,3.56737121649693e-05,3.03450219976926e-06,0.087117272086311,0.0332929336695103,8.31154837426667
"27","NEO",45,3.214364858079e-05,2.99362657443334e-05,0.0906437748450905,0.0341997163072369,7.91268645726667
"28","NEO",46.7,2.32043098232826e-05,4.79000593670681e-06,0.0935218686821023,0.0354720759473875,5.78806825453333
"29","NEO",48.5,2.0773377347903e-05,8.18258894387848e-06,0.0958087084150039,0.0360920424955201,5.1336408505
"30","NEO",50.2,1.30285687112139e-05,8.27909218699574e-06,0.097566409610078,0.03679673121056,3.68170462806667
"31","NEO",51.9,1.21058673695127e-05,1.9934890767214e-06,0.0988734002862758,0.0372337538721486,2.81149516576667
"32","NEO",53.7,1.09729704377658e-05,2.97899080860894e-06,0.100073499852254,0.0374857260805318,2.6811288806
"33","NEO",55.4,7.47182264360386e-06,3.10361275613229e-06,0.101032629092485,0.037795008981275,3.0673738864
"34","NEO",57.1,6.53847542669162e-06,2.61472648599543e-06,0.101761164592141,0.0380905813731466,3.4194569423
"35","NEO",58.9,4.63575291251571e-06,2.40192208507203e-06,0.10234222446578,0.038348165463388,3.26982568476667
"36","NEO",60.6,4.17608908742905e-06,2.93861648757467e-06,0.102800440249777,0.0386059158039162,3.06676791973333
"37","NEO",62.3,5.58331988756839e-06,3.92888334882448e-06,0.103307929516477,0.0388113063456586,2.27638459226667
"38","NEO",64.1,9.19992052560288e-06,3.51184632113123e-06,0.104076658017962,0.0389002617965954,5.0203364673
"39","NEO",65.8,2.35678640699458e-05,5.51741671217031e-06,0.10578058281693,0.039204616820577,6.93735484256667
"40","NEO",67.5,2.76948609051787e-05,7.55269381096531e-06,0.108446244515637,0.0398831203254868,7.65077790016667
"41","NEO",69.3,2.28676066402027e-05,7.90410345391268e-06,0.111075492827996,0.0405021759306231,8.84030288636667
"42","NEO",71,2.23084150149875e-05,3.9399443497742e-06,0.113424645954066,0.0406706101246163,7.77142589436667
