"","AbsTime","date.time","cps3721","corr.factor","MPVPosition","elapsed.time","id","treat","mass","conc","Vid","mearging.id","conc.bg.mn","conc.bg.sd","conc.corr","comp","nn","OTV","K","Group","date.time.weather","date","time","temp","temp.K","n","flux","flux.time","cum","exp"
"1",44742.663071847,2022-06-30 15:56:50,62.4234806694132,162.644216372227,1,"0","1","NEO","m33",12.742734,"V5","m33 0",15.292405,1.82612966263324,-2.549671,"Methanol","33.033000000000001",33000,2.19,"Other","30-06-2022 16:00:00","30-06-2022","16:00:00","24.4",297.55,-1.04425548641969e-10,0,0,0,"22K"
"2",44742.735261672,2022-06-30 17:40:47,60.8699808795411,158.141552581262,1,"1.73","1","NEO","m33",13.411779,"0","m33 1.73",15.987073,0.51563527134206,-2.575294,"Methanol","33.033000000000001",33000,2.19,"Other","30-06-2022 18:00:00","30-06-2022","18:00:00","23.1",296.25,-1.05937820301046e-10,0,0,0,"22K"
"3",44742.80744874,2022-06-30 19:24:44,60.8017545997319,157.943805531863,1,"3.46","1","NEO","m33",13.05897,"0","m33 3.46",16.121101,0.258596469830894,-3.062131,"Methanol","33.033000000000001",33000,2.19,"Other","30-06-2022 19:00:00","30-06-2022","19:00:00","22.6",295.75,-1.26177404273062e-10,0,0,0,"22K"
"4",44742.879624217,2022-06-30 21:08:40,59.5851989089599,154.417740517729,1,"5.2","1","NEO","m33",16.204905,"0","m33 5.2",18.735377,0.390694608741915,-2.530472,"Methanol","33.033000000000001",33000,2.19,"Other","30-06-2022 21:00:00","30-06-2022","21:00:00","18.9",292.05,-1.05590999673181e-10,0,0,0,"22K"
"5",44742.951799672,2022-06-30 22:52:36,54.9347366248775,140.938840633545,1,"6.93","1","NEO","m33",12.777774,"0","m33 6.93",13.786926,1.90076405702523,-1.009152,"Methanol","33.033000000000001",33000,2.19,"Other","30-06-2022 23:00:00","30-06-2022","23:00:00","16.4",289.55,-4.24732595865502e-11,0,0,0,"22K"
"6",44743.023998262,2022-07-01 00:36:34,49.6973550356053,125.758813835198,1,"8.66","1","NEO","m33",13.71816,"0","m33 8.66",11.4652632,0.876173026856933,2.2528968,"Methanol","33.033000000000001",33000,2.19,"Other","01-07-2022 01:00:00","01-07-2022","01:00:00","15.1",288.25,9.52477133423315e-11,1.61624804445451e-07,1.68089796623269e-05,1.68089796623269e-05,"22K"
"7",44743.096185278,2022-07-01 02:20:31,48.9815840852725,123.684223312754,1,"10.4","1","NEO","m33",12.675063,"0","m33 10.4",10.8832415,0.202008304638225,1.7918215,"Methanol","33.033000000000001",33000,2.19,"Other","01-07-2022 02:00:00","01-07-2022","02:00:00","14.8",287.95,7.58333490835782e-11,5.23945607980425e-07,5.44903432299642e-05,7.1299322892291e-05,"22K"
"8",44743.168372295,2022-07-01 04:04:28,51.0578165374677,129.701975452196,1,"12.1","1","NEO","m33",10.2550035,"0","m33 12.1",10.2661214,0.751718364302489,-0.0111178999999999,"Methanol","33.033000000000001",33000,2.19,"Other","01-07-2022 04:00:00","01-07-2022","04:00:00","14.3",287.45,-4.71349473648744e-13,2.3080046467063e-07,2.40032483257455e-05,9.53025712180366e-05,"22K"
"9",44743.240559312,2022-07-01 05:48:25,51.0125335230694,129.570727163264,1,"13.9","1","NEO","m33",12.384231,"0","m33 13.9",10.938977,1.12652059865444,1.445254,"Methanol","33.033000000000001",33000,2.19,"Other","01-07-2022 06:00:00","01-07-2022","06:00:00","17.5",290.65,6.05977401830499e-11,1.8414053483885e-07,1.91506156232404e-05,0.000114453186841277,"22K"
"10",44743.312746331,2022-07-01 07:32:22,59.2013320231466,153.305140735888,1,"15.6","1","NEO","m33",10.3470492,"0","m33 15.6",12.5053015,2.05889912974319,-2.1582523,"Methanol","33.033000000000001",33000,2.19,"Other","01-07-2022 08:00:00","01-07-2022","08:00:00","19.3",292.45,-8.99359160733001e-11,0,0,0.000114453186841277,"22K"
"11",44743.384921783,2022-07-01 09:16:18,64.9631290348721,170.005133194673,1,"17.3","1","NEO","m33",12.320502,"0","m33 17.3",13.3873094,1.32523595080585,-1.0668074,"Methanol","33.033000000000001",33000,2.19,"Other","01-07-2022 09:00:00","01-07-2022","09:00:00","19.1",292.25,-4.44850492467182e-11,0,0,0.000114453186841277,"22K"
"12",44743.457108805,2022-07-01 11:00:15,66.3843442579831,174.124383397338,1,"19.1","1","NEO","m33",12.621627,"0","m33 19.1",13.033858,1.42096929999772,-0.412230999999999,"Methanol","33.033000000000001",33000,2.19,"Other","01-07-2022 11:00:00","01-07-2022","11:00:00","20.8",293.95,-1.7090302872277e-11,0,0,0.000114453186841277,"22K"
"13",44743.67257034,2022-07-01 16:10:31,102.608915906788,279.117681864235,1,"24.2","1","NEO","m33",10.1644689,"0","m33 24.2",9.9233499,0.514649099303467,0.241119,"Methanol","33.033000000000001",33000,2.19,"Other","01-07-2022 16:00:00","01-07-2022","16:00:00","16.7",289.85,1.01377296423434e-11,0,0,0.000114453186841277,"22K"
