"","elapsed.time","time","experiment"
"1",0,"11:00:00","22H"
"2",0,"11:00:00","22H"
"3",0,"12:00:00","22H"
"4",0,"12:00:00","22H"
"5",0,"12:00:00","22H"
"6",0,"12:00:00","22H"
"7",0,"12:00:00","22H"
"8",0,"12:00:00","22H"
"9",0,"13:00:00","22H"
"10",1.73,"13:00:00","22H"
"11",1.73,"13:00:00","22H"
"12",1.73,"13:00:00","22H"
"13",1.73,"13:00:00","22H"
"14",1.73,"14:00:00","22H"
"15",1.73,"14:00:00","22H"
"16",1.73,"14:00:00","22H"
"17",1.73,"14:00:00","22H"
"18",1.73,"14:00:00","22H"
"19",3.47,"15:00:00","22H"
"20",3.47,"15:00:00","22H"
"21",3.47,"15:00:00","22H"
"22",3.47,"15:00:00","22H"
"23",3.47,"15:00:00","22H"
"24",3.47,"16:00:00","22H"
"25",3.47,"16:00:00","22H"
"26",3.47,"16:00:00","22H"
"27",3.47,"16:00:00","22H"
"28",5.2,"16:00:00","22H"
"29",5.2,"17:00:00","22H"
"30",5.2,"17:00:00","22H"
"31",5.2,"17:00:00","22H"
"32",5.2,"17:00:00","22H"
"33",5.2,"17:00:00","22H"
"34",5.2,"17:00:00","22H"
"35",5.2,"18:00:00","22H"
"36",5.2,"18:00:00","22H"
"37",6.93,"18:00:00","22H"
"38",6.93,"18:00:00","22H"
"39",6.93,"19:00:00","22H"
"40",6.93,"19:00:00","22H"
"41",6.93,"19:00:00","22H"
"42",6.93,"19:00:00","22H"
"43",6.93,"19:00:00","22H"
"44",6.93,"19:00:00","22H"
"45",6.93,"20:00:00","22H"
"46",8.66,"20:00:00","22H"
"47",8.66,"20:00:00","22H"
"48",8.66,"20:00:00","22H"
"49",8.66,"20:00:00","22H"
"50",8.66,"21:00:00","22H"
"51",8.66,"21:00:00","22H"
"52",8.66,"21:00:00","22H"
"53",8.66,"21:00:00","22H"
"54",8.66,"21:00:00","22H"
"55",10.4,"22:00:00","22H"
"56",10.4,"22:00:00","22H"
"57",10.4,"22:00:00","22H"
"58",10.4,"22:00:00","22H"
"59",10.4,"22:00:00","22H"
"60",10.4,"23:00:00","22H"
"61",10.4,"23:00:00","22H"
"62",10.4,"23:00:00","22H"
"63",10.4,"23:00:00","22H"
"64",12.1,"23:00:00","22H"
"65",12.1,"23:00:00","22H"
"66",12.1,"00:00:00","22H"
"67",12.1,"00:00:00","22H"
"68",12.1,"00:00:00","22H"
"69",12.1,"00:00:00","22H"
"70",12.1,"00:00:00","22H"
"71",12.1,"01:00:00","22H"
"72",12.1,"01:00:00","22H"
"73",13.9,"01:00:00","22H"
"74",13.9,"01:00:00","22H"
"75",13.9,"01:00:00","22H"
"76",13.9,"02:00:00","22H"
"77",13.9,"02:00:00","22H"
"78",13.9,"02:00:00","22H"
"79",13.9,"02:00:00","22H"
"80",13.9,"02:00:00","22H"
"81",13.9,"03:00:00","22H"
"82",15.6,"03:00:00","22H"
"83",15.6,"03:00:00","22H"
"84",15.6,"03:00:00","22H"
"85",15.6,"03:00:00","22H"
"86",15.6,"03:00:00","22H"
"87",15.6,"04:00:00","22H"
"88",15.6,"04:00:00","22H"
"89",15.6,"04:00:00","22H"
"90",15.6,"04:00:00","22H"
"91",17.3,"05:00:00","22H"
"92",17.3,"05:00:00","22H"
"93",17.3,"05:00:00","22H"
"94",17.3,"05:00:00","22H"
"95",17.3,"05:00:00","22H"
"96",17.3,"05:00:00","22H"
"97",17.3,"06:00:00","22H"
"98",17.3,"06:00:00","22H"
"99",17.3,"06:00:00","22H"
"100",19.1,"06:00:00","22H"
"101",19.1,"06:00:00","22H"
"102",19.1,"07:00:00","22H"
"103",19.1,"07:00:00","22H"
"104",19.1,"07:00:00","22H"
"105",19.1,"07:00:00","22H"
"106",19.1,"07:00:00","22H"
"107",19.1,"07:00:00","22H"
"108",19.1,"08:00:00","22H"
"109",20.8,"08:00:00","22H"
"110",20.8,"08:00:00","22H"
"111",20.8,"08:00:00","22H"
"112",20.8,"09:00:00","22H"
"113",20.8,"09:00:00","22H"
"114",20.8,"09:00:00","22H"
"115",20.8,"09:00:00","22H"
"116",20.8,"09:00:00","22H"
"117",20.8,"09:00:00","22H"
"118",22.5,"10:00:00","22H"
"119",22.5,"10:00:00","22H"
"120",22.5,"10:00:00","22H"
"121",22.5,"10:00:00","22H"
"122",22.5,"10:00:00","22H"
"123",22.5,"11:00:00","22H"
"124",22.5,"11:00:00","22H"
"125",22.5,"11:00:00","22H"
"126",22.5,"11:00:00","22H"
"127",24.3,"11:00:00","22H"
