"","exp","treat","mass","elapsed.time","cum.mn","cum.sd"
"1","Digestate B","NEO","m101",132,0.00286012777727608,0.00272642096981022
"2","Digestate B","NEO","m103",132,0.0104745177695252,0.010580456183581
"3","Digestate B","NEO","m109",132,0.0049948662171619,0.0085633027673037
"4","Digestate B","NEO","m115",132,0.000863456407797724,0.000243642943445715
"5","Digestate B","NEO","m123",132,0.00443022731483476,0.00744715325594954
"6","Digestate B","NEO","m132",132,0.000446751474980296,9.65654693279604e-05
"7","Digestate B","NEO","m135",132,0.00543605819623616,0.00925766826450449
"8","Digestate B","NEO","m153",132,0.00167787854093349,0.00137856623623409
"9","Digestate B","NEO","m33",132,0.0488820279878907,0.0582092042102605
"10","Digestate B","NEO","m41bu",132,0.00816391253163237,0.00485372091803674
"11","Digestate B","NEO","m41pro",132,0.0146632848824355,0.00871781664554133
"12","Digestate B","NEO","m43B",132,0.00461487212407015,0.00274369688257603
"13","Digestate B","NEO","m45",132,0.0081518705868341,0.00471366336076446
"14","Digestate B","NEO","m47",132,0.00421288853367949,0.000951676274964113
"15","Digestate B","NEO","m49",132,0.000458803548279099,0.00018500885877899
"16","Digestate B","NEO","m59",132,0.0195606628286227,0.00374945924392217
"17","Digestate B","NEO","m60",132,0.000890524665370155,0.000166614590094877
"18","Digestate B","NEO","m61",132,0.0137232029255364,0.00840108697456313
"19","Digestate B","NEO","m63A",132,0.000769704626491087,0.000280520646032591
"20","Digestate B","NEO","m69",132,0.00638462044552576,0.00963922724085825
"21","Digestate B","NEO","m73",132,0.00166681141793564,0.00149452671642453
"22","Digestate B","NEO","m75",132,0.0597840671905523,0.0622221399280222
"23","Digestate B","NEO","m79",132,0.000737612654706833,0.000467930989271729
"24","Digestate B","NEO","m83",132,0.00572107530554309,0.00888576001447883
"25","Digestate B","NEO","m87",132,0.00208014593658775,0.00119388178712641
"26","Digestate B","NEO","m89",132,0.0132820314213062,0.0131314292792109
"27","Digestate B","NEO","m95",132,0.0047201852912735,0.0080063128826505
"28","Digestate B","Raw","m101",132,0.000912130325191809,0.000510829801075753
"29","Digestate B","Raw","m103",132,0.00936364344056746,0.00888888506798066
"30","Digestate B","Raw","m109",132,0.000668265854943239,0.000436445692136651
"31","Digestate B","Raw","m115",132,0.00204533609347036,0.0014117755828716
"32","Digestate B","Raw","m123",132,0.000639668925728024,0.000531809843488577
"33","Digestate B","Raw","m132",132,0.000411375170286851,5.6915929100894e-05
"34","Digestate B","Raw","m135",132,0.0010283742758996,0.00101718096582355
"35","Digestate B","Raw","m153",132,0.00126133619576372,0.000452510927706944
"36","Digestate B","Raw","m33",132,0.107590637831848,0.0807616119266815
"37","Digestate B","Raw","m41bu",132,0.0059651979967669,0.00604880025729717
"38","Digestate B","Raw","m41pro",132,0.0107141517339649,0.0108643105895652
"39","Digestate B","Raw","m43B",132,0.00337198933025988,0.00341924776671841
"40","Digestate B","Raw","m45",132,0.028172083723413,0.0244384125041281
"41","Digestate B","Raw","m47",132,0.0037367397234831,0.00108284352778272
"42","Digestate B","Raw","m49",132,0.000455935237307107,9.4500624914235e-05
"43","Digestate B","Raw","m59",132,0.142251220832289,0.114867238788284
"44","Digestate B","Raw","m60",132,0.00280315163816349,0.00198291587601513
"45","Digestate B","Raw","m61",132,0.0292881454390048,0.0218294092688404
"46","Digestate B","Raw","m63A",132,0.000885833519446235,0.000170715492168181
"47","Digestate B","Raw","m69",132,0.00260182318084079,0.00233944134765874
"48","Digestate B","Raw","m73",132,0.00652773424082957,0.00565438473655515
"49","Digestate B","Raw","m75",132,0.0520954606134409,0.0530846439125054
"50","Digestate B","Raw","m79",132,0.000469490803105677,0.000192833537905359
"51","Digestate B","Raw","m83",132,0.00154453648210831,0.00170404320269301
"52","Digestate B","Raw","m87",132,0.00248191880162556,0.00108332975689659
"53","Digestate B","Raw","m89",132,0.0125562100859928,0.0125408001626011
"54","Digestate B","Raw","m95",132,0.00108480437283107,0.000512781358401762
"55","Digestate B","Separated","m101",132,0.00123700905405845,0.000404307729163618
"56","Digestate B","Separated","m103",132,0.000833566417886552,0.000765376658334335
"57","Digestate B","Separated","m109",132,6.29054654899713e-05,3.24312896740405e-05
"58","Digestate B","Separated","m115",132,0.000449362857773591,0.00011050347347637
"59","Digestate B","Separated","m123",132,0.000183069831518339,0.000178632046686307
"60","Digestate B","Separated","m132",132,0.000604249761478314,0.000123809230086096
"61","Digestate B","Separated","m135",132,4.9339395870497e-05,6.9776442799352e-05
"62","Digestate B","Separated","m153",132,0.00110437110985554,0.000560489611350463
"63","Digestate B","Separated","m33",132,0.0136873472565717,0.0041478241312191
"64","Digestate B","Separated","m41bu",132,0.000258115466467524,0.000236072154577015
"65","Digestate B","Separated","m41pro",132,0.000463603768745785,0.000424011555973948
"66","Digestate B","Separated","m43B",132,0.000145906740962382,0.000133446163369013
"67","Digestate B","Separated","m45",132,0.00707354608467556,0.00585186667098014
